Image_Width,Image_Height, canny_time,vertical_time,horizontal_time,mean_time,Canny_flops,Canny_bytes,vertical_flops,vertical_bytes ,horizontal_flops,horizontal_bytes,mean_flops,mean_bytes,d2h_size_MB,d2h_time,h2d_size_mb,h2d_time
5120,5120,250.761307,61.956127,39.807808,25.247744,12949913600,314572800,52428800,104867840,31072.39877,62646.32015,1887436800,655360000,400,36.079166,100,223.529434
5120,5120,238.594788,61.908863,39.807232,25.261248,12949913600,314572800,52428800,104867840,29542.26409,59561.71775,1887436800,655360000,400,43.091007,100,232.149948
5120,5120,246.550049,61.903103,39.826336,25.253441,12949913600,314572800,52428800,104867840,30524.42616,61541.95241,1887436800,655360000,400,35.488129,100,198.661118
5120,5120,257.382874,62.072735,39.873375,25.261951,12949913600,314572800,52428800,104867840,31952.91786,64420.60147,1887436800,655360000,400,39.650463,100,231.695618
5120,5120,231.100098,62.000095,39.773056,25.258368,12949913600,314572800,52428800,104867840,28656.45606,57775.11232,1887436800,655360000,400,39.880032,100,233.39447
5120,5120,251.302048,61.973698,39.808353,25.259359,12949913600,314572800,52428800,104867840,31148.23446,62799.07301,1887436800,655360000,400,35.211231,100,197.994629
5120,5120,231.921341,62.055138,39.878178,25.263519,12949913600,314572800,52428800,104867840,28783.82164,58031.48597,1887436800,655360000,400,35.356159,100,197.53833
5120,5120,230.837219,61.99699,39.830017,25.264095,12949913600,314572800,52428800,104867840,28622.42552,57706.52547,1887436800,655360000,400,35.35968,100,197.547394
5120,5120,231.057465,62.065727,39.862816,25.2624,12949913600,314572800,52428800,104867840,28681.49909,57825.11311,1887436800,655360000,400,39.812862,100,231.66246
5120,5120,230.844635,61.992542,39.835487,25.25968,12949913600,314572800,52428800,104867840,28621.29146,57704.27219,1887436800,655360000,400,43.987617,100,251.730759
5120,5120,230.753159,62.002464,39.886623,25.26368,12949913600,314572800,52428800,104867840,28614.52887,57690.56405,1887436800,655360000,400,35.888447,100,216.958939
5120,5120,230.579391,61.970818,39.806625,25.255136,12949913600,314572800,52428800,104867840,28578.38695,57617.93268,1887436800,655360000,400,35.950527,100,223.317017
5120,5120,236.130692,62.002655,39.785694,25.255327,12949913600,314572800,52428800,104867840,29281.45966,59035.18071,1887436800,655360000,400,35.829922,100,225.731705
5120,5120,235.34761,62.042431,39.830879,25.255169,12949913600,314572800,52428800,104867840,29203.07571,58876.84664,1887436800,655360000,400,42.80624,100,232.022629
5120,5120,237.337372,62.032703,39.906719,25.258112,12949913600,314572800,52428800,104867840,29445.35742,59365.38958,1887436800,655360000,400,39.823681,100,231.924698
5120,5120,235.424637,61.966591,39.790047,25.25568,12949913600,314572800,52428800,104867840,29176.92438,58824.69804,1887436800,655360000,400,39.8512,100,231.864548
5120,5120,235.738937,61.94096,39.804863,25.258783,12949913600,314572800,52428800,104867840,29203.79213,58879.06214,1887436800,655360000,400,35.513214,100,197.677155
5120,5120,237.228867,62.082623,39.881504,25.264896,12949913600,314572800,52428800,104867840,29455.58063,59385.61899,1887436800,655360000,400,44.047009,100,250.429306
5120,5120,236.07991,61.942719,39.78912,25.246559,12949913600,314572800,52428800,104867840,29246.86305,58965.88593,1887436800,655360000,400,35.766144,100,226.070435
